Date,Team1,Team2,Score1,Score2,ET,PSO,Location,HomeTeam,Type,Info
12/12/2004,Malaysia,Myanmar,0,1,0,0,KualaLumpur,1,Friendly,0
12/12/2004,Uganda,Somalia,2,0,0,0,AddisAbeba,0,Friendly,0
12/12/2004,Kenya,Sudan,2,2,0,0,AddisAbeba,0,Friendly,0
12/12/2004,BritishVirginIslands,TrinidadandTobago,0,4,0,0,Tortola,1,ContinentalQualifier,0
12/12/2004,St.Vincent/Grenadines,Grenada,3,1,0,0,Kingstown,1,ContinentalQualifier,0
12/12/2004,St.Lucia,Jamaica,1,1,0,0,VieuxFort,1,ContinentalQualifier,0
12/12/2004,Haiti,St.KittsandNevis,1,0,0,0,FortLauderdale,0,ContinentalQualifier,0
13/12/2004,Indonesia,Cambodia,8,0,0,0,Hanoi,0,Friendly,0
13/12/2004,Singapore,Laos,6,2,0,0,Hanoi,0,Friendly,0
13/12/2004,Burundi,Rwanda,3,1,0,0,AddisAbeba,0,Friendly,0
13/12/2004,Oman,UnitedArabEmirates,2,1,0,0,Doha,0,Friendly,0
13/12/2004,Qatar,Iraq,3,3,0,0,Doha,1,Friendly,0
14/12/2004,Malaysia,Thailand,2,1,0,0,KualaLumpur,1,Friendly,0
14/12/2004,Sudan,Uganda,2,1,0,0,AddisAbeba,0,Friendly,0
14/12/2004,Somalia,Kenya,0,1,0,0,AddisAbeba,0,Friendly,0
14/12/2004,Bahrain,Kuwait,1,1,0,0,Doha,0,Friendly,0
14/12/2004,SaudiArabia,Yemen,2,0,0,0,Doha,0,Friendly,0
15/12/2004,Cambodia,Singapore,0,3,0,0,Hanoi,0,Friendly,0
15/12/2004,Vietnam,Laos,3,0,0,0,Hanoi,1,Friendly,0
15/12/2004,Tanzania,Burundi,0,2,0,0,AddisAbeba,0,Friendly,0
15/12/2004,Ethiopia,Rwanda,0,0,0,0,AddisAbeba,1,Friendly,0
15/12/2004,Lesotho,Botswana,1,1,0,0,Maseru,1,Friendly,0
15/12/2004,St.KittsandNevis,Haiti,0,2,0,0,Basseterre,1,ContinentalQualifier,0
16/12/2004,Thailand,Philippines,3,1,0,0,KualaLumpur,0,Friendly,0
16/12/2004,Iraq,UnitedArabEmirates,1,1,0,0,Doha,0,Friendly,0
16/12/2004,Qatar,Oman,2,1,0,0,Doha,1,Friendly,0
16/12/2004,Japan,Germany,0,3,0,0,Yokohama,1,Friendly,0
17/12/2004,Ethiopia,Tanzania,2,0,0,0,AddisAbeba,1,Friendly,0
17/12/2004,Bahrain,SaudiArabia,3,0,0,0,Doha,0,Friendly,0
17/12/2004,Kuwait,Yemen,3,0,0,0,Doha,0,Friendly,0
18/12/2004,Maldives,SriLanka,0,0,0,0,Male,1,Friendly,0
18/12/2004,Sudan,Somalia,4,0,0,0,AddisAbeba,0,Friendly,0
18/12/2004,Kenya,Uganda,1,1,0,0,AddisAbeba,0,Friendly,0
18/12/2004,Iran,Panama,1,0,0,0,Tehran,1,Friendly,0
19/12/2004,TrinidadandTobago,BritishVirginIslands,2,0,0,0,Macoya,1,ContinentalQualifier,0
19/12/2004,Tanzania,Rwanda,1,5,0,0,AddisAbeba,0,Friendly,0
19/12/2004,KoreaRepublic,Germany,3,1,0,0,Busan,1,Friendly,0
19/12/2004,Grenada,St.Vincent/Grenadines,0,1,0,0,St.George's,1,ContinentalQualifier,0
19/12/2004,Jamaica,St.Lucia,2,1,0,0,Kingston,1,ContinentalQualifier,0
20/12/2004,Oman,Bahrain,3,2,0,0,Doha,0,Friendly,0
20/12/2004,Qatar,Kuwait,2,0,0,0,Doha,1,Friendly,0
21/12/2004,Thailand,Germany,1,5,0,0,Bangkok,1,Friendly,0
21/12/2004,Venezuela,Guatemala,0,1,0,0,Caracas,1,Friendly,0
22/12/2004,Ethiopia,Kenya,2,2,1,1,AddisAbeba,1,Friendly,0
22/12/2004,Sudan,Burundi,1,2,0,0,AddisAbeba,0,Friendly,0
23/12/2004,Bahrain,Kuwait,3,1,0,0,Doha,0,Friendly,0
24/12/2004,Qatar,Oman,2,2,1,2,Doha,1,Friendly,0
25/12/2004,Kenya,Sudan,1,2,0,0,AddisAbeba,0,Friendly,0
25/12/2004,Ethiopia,Burundi,3,0,0,0,AddisAbeba,1,Friendly,0
28/12/2004,Indonesia,Malaysia,1,2,0,0,Jakarta,1,Friendly,0
29/12/2004,Myanmar,Singapore,3,4,0,0,KualaLumpur,0,Friendly,0
02/01/2005,Singapore,Myanmar,4,2,1,0,Singapore,1,Friendly,0
03/01/2005,Malaysia,Indonesia,1,4,0,0,KualaLumpur,1,Friendly,0
08/01/2005,Indonesia,Singapore,1,3,0,0,Jakarta,1,Friendly,0
08/01/2005,Egypt,Uganda,3,0,0,0,Cairo,1,Friendly,0
09/01/2005,Haiti,Cuba,0,1,0,0,Port-Au-Prince,1,ContinentalQualifier,0
09/01/2005,TrinidadandTobago,St.Vincent/Grenadines,3,1,0,0,PortOfSpain,1,ContinentalQualifier,0
12/01/2005,AntiguaandBarbuda,TrinidadandTobago,2,1,0,0,St.John's,1,Friendly,0
12/01/2005,CostaRica,Haiti,3,3,0,0,SanJose,1,Friendly,0
15/01/2005,Malaysia,Myanmar,2,1,0,0,Singapore,0,Friendly,0
15/01/2005,Colombia,KoreaRepublic,2,1,0,0,LosAngeles,0,Friendly,0
16/01/2005,Singapore,Indonesia,2,1,0,0,Singapore,1,Friendly,0
16/01/2005,St.Vincent/Grenadines,TrinidadandTobago,1,0,0,0,Kingstown,1,ContinentalQualifier,0
16/01/2005,Cuba,Haiti,1,1,1,0,Havana,1,ContinentalQualifier,0
17/01/2005,Colombia,Guatemala,1,1,0,0,LosAngeles,0,Friendly,0
19/01/2005,Paraguay,KoreaRepublic,1,1,0,0,LosAngeles,0,Friendly,0
21/01/2005,TrinidadandTobago,Azerbaijan,1,0,0,0,PortOfSpain,1,Friendly,0
22/01/2005,Sweden,KoreaRepublic,1,1,0,0,Carson/LosAngeles,0,Friendly,0
22/01/2005,Kuwait,Norway,1,1,0,0,KuwaitCity,1,Friendly,0
23/01/2005,TrinidadandTobago,Azerbaijan,2,0,0,0,Marabella,1,Friendly,0
23/01/2005,Barbados,Grenada,3,0,0,0,Bridgetown,1,Friendly,0
