p=0.25 p_inf=0.1 time series=0,1,9,17
Format is t, #suscepted, #infected, #recovered
710 614 112 274
711 610 182 208
712 526 265 209
713 405 378 217
714 275 519 206
715 165 652 183
716 91 761 148
717 56 820 124
718 32 832 136
719 21 786 193
720 24 714 262
721 23 598 379
722 29 458 513
723 32 319 649
724 53 207 740
725 78 127 795
726 145 90 765
727 220 69 711
728 324 66 610
729 444 78 478
730 550 98 352
731 617 131 252
732 619 176 205
733 545 254 201
734 415 365 220
735 288 516 196
736 169 646 185
737 103 753 144
738 60 799 141
739 40 809 151
740 24 784 192
741 23 722 255
742 21 612 367
743 30 463 507
744 43 324 633
745 66 204 730
746 97 135 768
747 139 94 767
748 210 77 713
749 316 68 616
750 450 72 478
751 553 87 360
752 631 123 246
753 636 165 199
754 587 229 184
755 480 319 201
756 349 443 208
757 229 583 188
758 142 699 159
759 73 771 156
760 37 804 159
761 29 798 173
762 23 742 235
763 22 658 320
764 25 535 440
765 29 392 579
766 49 272 679
767 83 180 737
768 119 113 768
769 173 83 744
770 256 85 659
771 367 86 547
772 479 98 423
773 554 129 317
774 580 174 246
775 542 240 218
776 442 345 213
777 323 475 202
778 195 592 213
779 115 719 166
780 62 787 151
781 42 809 149
782 33 784 183
783 28 727 245
784 33 627 340
785 37 492 471
786 41 371 588
787 55 240 705
788 88 158 754
789 132 103 765
790 190 84 726
791 277 83 640
792 393 96 511
793 479 115 406
794 558 150 292
795 585 202 213
796 544 257 199
797 431 353 216
798 289 485 226
799 182 628 190
800 95 722 183
801 67 790 143
802 47 783 170
803 35 751 214
804 22 708 270
805 21 625 354
806 26 494 480
807 45 346 609
808 68 233 699
809 103 142 755
810 153 114 733
811 196 96 708
812 277 96 627
813 393 98 509
814 501 113 386
815 553 153 294
816 564 214 222
817 471 294 235
818 351 415 234
819 245 553 202
820 158 659 183
821 96 744 160
822 54 791 155
823 35 793 172
824 18 751 231
825 23 688 289
826 26 562 412
827 39 421 540
828 48 302 650
829 61 208 731
830 97 148 755
831 155 110 735
832 220 94 686
833 328 92 580
834 430 110 460
835 499 149 352
836 524 199 277
837 484 268 248
838 399 368 233
839 302 491 207
